,parties,p_names,file_list
670,AfD,Tobias Matthias Peterka,
671,AfD,Jürgen Pohl,
672,AfD,Stephan Protschka,
673,AfD,Martin Reichardt,
674,AfD,Martin Erwin Renner,
675,AfD,Frank Rinck,
676,AfD,Bernd Schattner,
677,AfD,Ulrike Schielke-Ziesing,
678,AfD,Eugen Schmidt,
679,AfD,Jan Wenzel Schmidt,
680,AfD,Jörg Schneider,
681,AfD,Uwe Schulz,
682,AfD,Thomas Seitz,
683,AfD,Martin Sichert,
684,AfD,Dr. Dirk Spaniel,
685,AfD,René Springer,
686,AfD,Klaus Stöber,
687,AfD,Beatrix von Storch,
688,AfD,Dr. Alice Weidel,
689,AfD,Dr. Harald Weyel,
690,AfD,Wolfgang Wiehle,
691,AfD,Dr. Christian Wirth,
692,AfD,Uwe Witt,
693,AfD,Joachim Wundrak,
694,AfD,Kay-Uwe Ziegler,
695,DIE LINKE.,Gökay Akbulut,
696,DIE LINKE.,Ali Al-Dailami,
697,DIE LINKE.,Dr. Dietmar Bartsch,
698,DIE LINKE.,Matthias W. Birkwald,
699,DIE LINKE.,Sevim Dagdelen,
700,DIE LINKE.,Anke Domscheit-Berg,
701,DIE LINKE.,Klaus Ernst,
702,DIE LINKE.,Susanne Ferschl,
703,DIE LINKE.,Nicole Gohlke,
704,DIE LINKE.,Christian Görke,
705,DIE LINKE.,Ates Gürpinar,
706,DIE LINKE.,Dr. Gregor Gysi,
707,DIE LINKE.,Dr. André Hahn,
708,DIE LINKE.,Susanne Hennig-Wellsow,
709,DIE LINKE.,Andrej Hunko,
710,DIE LINKE.,Katja Kipping,
711,DIE LINKE.,Jan Korte,
712,DIE LINKE.,Ina Latendorf,
713,DIE LINKE.,Caren Lay,
