25,24,time,mNr
0.754642,-0.081504,1731489942823200,20
0.317744,-0.855792,1731489942823600,20
-0.039718,-1.141056,1731489942824000,20
0.59577,-0.896544,1731489942824400,20
-0.39718,-0.122256,1731489942824800,20
0.357462,-0.733536,1731489942825200,20
-1.151822,-0.937296,1731489942825600,20
-1.032668,-1.507824,1731489942826000,20
-1.270976,-0.81504,1731489942826400,20
-0.754642,-0.285264,1731489942826800,20
-0.119154,0.489024,1731489942827200,20
-1.310694,0.122256,1731489942827600,20
-1.429848,-0.81504,1731489942828000,20
-0.39718,0.529776,1731489942828400,20
-0.913514,0.489024,1731489942828800,20
-0.238308,0.774288,1731489942829200,20
-1.78731,0.529776,1731489942829600,20
-0.873796,0.244512,1731489942830000,20
-1.906464,-0.326016,1731489942830400,20
0.59577,0.448272,1731489942830800,20
1.19154,1.42632,1731489942831200,20
0.635488,-0.163008,1731489942831600,20
-0.079436,0.774288,1731489942832000,20
0.436898,0.896544,1731489942832400,20
0.59577,0.733536,1731489942832800,20
1.151822,1.304064,1731489942833200,20
0.436898,0.326016,1731489942833600,20
0.158872,0.040752,1731489942834000,20
-0.436898,-0.040752,1731489942834400,20
1.19154,-0.448272,1731489942834800,20
1.19154,0.366768,1731489942835200,20
0.635488,-0.081504,1731489942835600,20
0.714924,-0.81504,1731489942836000,20
-0.119154,-0.81504,1731489942836400,20
0.158872,0.040752,1731489942836800,20
1.58872,-0.448272,1731489942837200,20
-0.516334,-1.059552,1731489942837600,20
-0.39718,-0.81504,1731489942838000,20
0.039718,-0.61128,1731489942838400,20
-0.476616,-0.489024,1731489942838800,20
0.476616,-1.467072,1731489942839200,20
-1.270976,-0.163008,1731489942839600,20
-0.913514,-0.733536,1731489942840000,20
-0.516334,-1.0188,1731489942840400,20
-0.79436,-1.181808,1731489942840800,20
0.238308,-0.040752,1731489942841200,20
-1.39013,0.40752,1731489942841600,20
-0.79436,-0.61128,1731489942842000,20
-0.19859,0.163008,1731489942842400,20
-0.476616,0.040752,1731489942842800,20
0.635488,-0.326016,1731489942843200,20
-0.079436,-0.163008,1731489942843600,20
0.0,-0.326016,1731489942844000,20
-0.834078,0.20376,1731489942844400,20
0.119154,0.529776,1731489942844800,20
0.79436,0.61128,1731489942845200,20
1.310694,0.20376,1731489942845600,20
0.079436,-0.040752,1731489942846000,20
0.158872,0.081504,1731489942846400,20
0.79436,0.244512,1731489942846800,20
1.509284,0.244512,1731489942847200,20
0.635488,0.448272,1731489942847600,20
0.953232,0.366768,1731489942848000,20
0.119154,-0.040752,1731489942848400,20
-0.079436,-0.774288,1731489942848800,20
0.0,-0.326016,1731489942849200,20
0.357462,0.163008,1731489942849600,20
0.19859,-1.263312,1731489942850000,20
-0.635488,-0.570528,1731489942850400,20
0.0,-0.774288,1731489942850800,20
0.476616,-0.570528,1731489942851200,20
-1.350412,-0.489024,1731489942851600,20
-0.834078,-1.263312,1731489942852000,20
-1.112104,-1.0188,1731489942852400,20
-1.549002,-1.0188,1731489942852800,20
0.278026,-0.652032,1731489942853200,20
-0.635488,0.040752,1731489942853600,20
-1.350412,-0.570528,1731489942854000,20
-0.99295,-0.20376,1731489942854400,20
-1.032668,-0.81504,1731489942854800,20
-0.238308,0.40752,1731489942855200,20
-0.873796,0.285264,1731489942855600,20
-0.953232,-0.733536,1731489942856000,20
-1.469566,0.937296,1731489942856400,20
-0.516334,1.22256,1731489942856800,20
0.476616,0.081504,1731489942857200,20
-1.270976,1.304064,1731489942857600,20
