time,Bm X,Bm Y
1642489203635.6,-0.031484,0.094782
1642489203636.0,-0.503744,-0.189564
1642489203636.4,-0.94452,-0.284346
1642489203636.8,0.31484,0.189564
1642489203637.2002,-0.566712,0.063188
1642489203637.5999,0.125936,0.505504
1642489203638.0,0.188904,0.221158
1642489203638.4001,-0.062968,0.189564
1642489203638.7998,-0.062968,-0.15797
1642489203639.2,0.377808,0.15797
1642489203639.6,0.0,0.252752
1642489203640.0,0.062968,-0.063188
1642489203640.4,0.188904,-0.031594
1642489203640.8,-0.15742,0.221158
1642489203641.2,0.125936,-0.537098
1642489203641.5999,-0.031484,0.094782
1642489203642.0,0.47226,-0.410722
1642489203642.4001,0.47226,0.031594
1642489203642.8,0.503744,-0.126376
1642489203643.2,0.031484,-0.410722
1642489203643.6,-0.251872,0.221158
1642489203644.0,-0.220388,0.189564
1642489203644.4,0.188904,-0.568692
1642489203644.8,0.31484,-0.063188
1642489203645.2,-0.15742,-0.15797
1642489203645.6,0.31484,0.442316
1642489203646.0,0.062968,-0.221158
1642489203646.4,-0.346324,0.189564
1642489203646.8,-0.881552,-0.505504
1642489203647.2002,0.15742,-0.94782
1642489203647.5999,-0.503744,-0.979414
1642489203648.0,0.220388,-0.031594
1642489203648.4001,0.125936,0.31594
1642489203648.7998,-0.31484,0.379128
1642489203649.2,0.220388,0.505504
1642489203649.6,0.062968,-0.15797
1642489203650.0,0.220388,-0.568692
1642489203650.4,-0.251872,-0.15797
1642489203650.8,-0.251872,0.442316
1642489203651.2,-0.346324,0.031594
1642489203651.5999,-0.031484,0.442316
1642489203652.0,-0.094452,0.15797
1642489203652.4,-0.125936,0.252752
1642489203652.8,-0.724132,-0.063188
1642489203653.2,0.188904,0.221158
1642489203653.6,0.692648,0.189564
1642489203654.0,0.0,-0.600286
1642489203654.4001,0.440776,0.821444
1642489203654.8,-0.125936,0.252752
1642489203655.2,-0.409292,0.031594
1642489203655.6,0.31484,0.568692
1642489203656.0,0.62968,-0.31594
1642489203656.4,0.724132,-0.094782
1642489203656.8,0.094452,-0.094782
1642489203657.2002,-0.15742,-0.284346
1642489203657.5999,0.125936,0.031594
1642489203658.0,-0.377808,-0.537098
1642489203658.4001,-0.346324,0.284346
1642489203658.7998,-0.15742,-0.78985
1642489203659.2,0.346324,0.15797
1642489203659.6,0.094452,0.189564
1642489203660.0,0.062968,0.410722
1642489203660.4,0.346324,0.347534
1642489203660.8,-0.409292,-0.126376
1642489203661.2,-0.15742,0.537098
1642489203661.6,0.566712,0.442316
1642489203662.0,0.503744,-0.126376
1642489203662.4,-0.031484,-0.094782
1642489203662.8,0.188904,-0.221158
1642489203663.2,0.188904,-0.221158
1642489203663.5999,0.188904,-0.221158
1642489203664.0,0.188904,-0.221158
1642489203664.4001,0.188904,-0.221158
1642489203664.8,0.188904,-0.221158
1642489203665.2,0.188904,-0.221158
1642489203665.6,0.188904,-0.221158
1642489203666.0,0.094452,-0.47391
1642489203666.4,-0.598196,-0.284346
1642489203666.8,-0.346324,-0.094782
1642489203667.2002,-0.125936,-0.094782
1642489203667.5999,-0.062968,0.126376
1642489203668.0,-0.125936,-0.063188
1642489203668.4001,-0.283356,-0.410722
1642489203668.8,0.15742,-0.094782
1642489203669.2,-0.220388,-0.031594
1642489203669.6,-0.283356,0.695068
1642489203670.0,-0.062968,-0.031594
1642489203670.4,0.409292,-0.15797
1642489203670.8,0.503744,-0.758256
1642489203671.2,-0.377808,0.189564
1642489203671.6,0.566712,0.284346
1642489203672.0,-0.47226,-0.189564
1642489203672.4,0.062968,0.15797
1642489203672.8,-0.31484,0.442316
1642489203673.2,-0.47226,0.63188
1642489203673.5999,-0.47226,-0.568692
1642489203674.0,0.125936,0.505504
1642489203674.4001,0.031484,-0.379128
1642489203674.7998,-0.062968,0.063188
1642489203675.2,0.409292,-0.063188
1642489203675.6,-0.15742,0.031594
1642489203676.0,0.125936,-0.726662
1642489203676.4,-0.220388,-0.31594
1642489203676.8,0.31484,0.252752
1642489203677.2002,0.125936,-0.537098
1642489203677.5999,0.094452,0.600286
1642489203678.0,-0.251872,-0.15797
1642489203678.4001,0.377808,-0.094782
1642489203678.8,0.503744,0.568692
1642489203679.2,-0.283356,0.0
1642489203679.6,0.598196,0.31594
1642489203680.0,0.503744,0.0
1642489203680.4,-0.598196,0.063188
1642489203680.8,0.0,0.094782
1642489203681.2,0.7871,-0.15797
1642489203681.6,0.31484,0.568692
1642489203682.0,0.503744,-0.568692
1642489203682.4,0.062968,-0.726662
1642489203682.8,-0.377808,-0.031594
1642489203683.2,-0.440776,0.031594
1642489203683.5999,-0.094452,-0.094782
1642489203684.0,-0.440776,0.15797
1642489203684.4001,-0.188904,0.410722
1642489203684.7998,-0.188904,0.031594
1642489203685.2,0.0,-0.284346
1642489203685.6,-0.31484,-0.031594
1642489203686.0,0.0,0.126376
1642489203686.4,-0.125936,-0.063188
1642489203686.8,-0.125936,0.031594
1642489203687.2,-0.346324,0.284346
1642489203687.5999,-0.440776,0.568692
1642489203688.0,-0.062968,0.221158
1642489203688.4001,-0.094452,0.63188
1642489203688.8,-0.661164,0.347534
1642489203689.2,-0.094452,0.126376
1642489203689.6,0.0,0.63188
1642489203690.0,0.566712,0.78985
1642489203690.4,-0.377808,-0.252752
1642489203690.8,-0.503744,-0.189564
1642489203691.2,0.125936,0.094782
1642489203691.6,0.377808,0.15797
1642489203692.0,-0.377808,0.094782
1642489203692.4,-0.125936,-0.221158
1642489203692.8,0.47226,0.78985
